NetworkSet,NSTypicalBandwidth,NSMaximumBandwidth,NetworkName,Type,vLANID,vLANType,Subnet,TypicalBandwidth,MaximumBandwidth,SmartLink,PrivateNetwork,Purpose
Dev,,,D409,Ethernet,409,,,0.5,2,Yes,No,General
Dev,,,D410,Ethernet,410,,,0.5,2,Yes,No,General
Dev,,,D411T,Ethernet,411,Tagged,,0.5,2,Yes,No,General
Dev,,,D412T,Ethernet,412,Tagged,,0.5,2,Yes,No,General
Dev,,,D413T,Ethernet,413,Tagged,,0.5,2,Yes,No,General
Dev,,,D414T,Ethernet,414,Tagged,,0.5,2,Yes,No,General
Dev,,,D415T,Ethernet,415,Tagged,,0.5,2,Yes,No,General
Dev,,,D416T,Ethernet,416,Tagged,,0.5,2,Yes,No,General
Dev,,,D417T,Ethernet,417,Tagged,,0.5,2,Yes,No,General
Dev,,,D418T,Ethernet,418,Tagged,,0.5,2,Yes,No,General
Dev,,,D419T,Ethernet,419,Tagged,,0.5,2,Yes,No,General
Dev,,,D420T,Ethernet,420,Tagged,,0.5,2,Yes,No,General
,,,,,,,,,,,,
,,,P-ISCSI181,Ethernet,181,,,1,5,Yes,Yes,ISCSI
,,,P-ISCSI182,Ethernet,182,,,1,5,Yes,Yes,ISCSI
,,,S-ISCSI281,Ethernet,281,,,1,5,Yes,Yes,ISCSI
,,,S-ISCSI282,Ethernet,282,,,1,5,Yes,Yes,ISCSI
,,,T-ISCSI381,Ethernet,381,,,1,5,Yes,Yes,ISCSI
,,,T-ISCSI382,Ethernet,382,,,1,5,Yes,Yes,ISCSI
,,,D-ISCSI481,Ethernet,481,,,1,5,Yes,Yes,ISCSI
,,,D-ISCSI482,Ethernet,482,,,1,5,Yes,Yes,ISCSI
,,,,,,,,,,,,
,,,DMZ-Internal-711,Ethernet,711,,,1,2,Yes,Yes,General
,,,DMZ-Internal-713,Ethernet,713,,,1,2,Yes,Yes,General
,,,DMZ-Internal-714,Ethernet,714,,,1,2,Yes,Yes,General
,,,DMZ-External-Internet,Ethernet,781,,,1,2,Yes,Yes,General
,,,DMZ-External-Backup,Ethernet,786,,,2,2,Yes,Yes,General
,,,DMZ-External-FireWall,Ethernet,791,,,0.5,1,Yes,Yes,General
,,,,,,,,,,,,
Management,,,Mgmt-Core,Ethernet,801,,,0.5,1,Yes,Yes,Management
Management,,,Mgmt-Network,Ethernet,802,,,0.5,1,Yes,Yes,Management
Management,,,Mgmt-SANs,Ethernet,803,,,0.5,1,Yes,Yes,Management
Management,,,Mgmt-Vmware,Ethernet,804,,,0.5,1,Yes,Yes,Management
Management,,,Mgmt-Windows,Ethernet,805,,,0.5,1,Yes,Yes,Management
Management,,,Mgmt-Other,Ethernet,806,,,0.5,1,Yes,Yes,Management
,,,,,,,,,,,,
,,,P-VMM-a,Ethernet,911,,,2,10,Yes,No,VMMigration
,,,P-VMM-b,Ethernet,912,,,2,10,Yes,No,VMMigration
,,,S-VMM-a,Ethernet,921,,,2,10,Yes,No,VMMigration
,,,S-VMM-b,Ethernet,922,,,2,10,Yes,No,VMMigration
,,,T-VMM-a,Ethernet,931,,,2,10,Yes,No,VMMigration
,,,T-VMM-b,Ethernet,932,,,2,10,Yes,No,VMMigration
,,,D-VMM-a,Ethernet,941,,,2,10,Yes,No,VMMigration
,,,D-VMM-b,Ethernet,942,,,2,10,Yes,No,VMMigration
,,,Z-VMM-a,Ethernet,961,,,2,5,Yes,Yes,VMMigration
,,,Z-VMM-b,Ethernet,962,,,2,5,Yes,Yes,VMMigration
